시군명,읍면동명,등록동물수(마리),(등록주체)시군구등록,(등록주체)대행업체등록,(등록주체)기타,(RFID종류)내장형,(RFID종류)외장형,(RFID종류)인식표,등록품종수,등록소유자수,동물소유자당등록동물수,해당동의등록대행업체수,데이터기준일자
포천시,자작동,63,0,63,0,34,13,16,12,32,1.97,0,2021-08-24
포천시,창수면,135,0,133,2,93,8,34,28,52,2.6,0,2021-08-24
포천시,화현면,144,0,142,2,73,17,54,28,83,1.73,0,2021-08-24
하남시,감북동,164,21,143,0,86,54,24,34,109,1.5,,2023-02-08
하남시,감이동,406,16,390,0,205,170,31,43,322,1.26,,2023-02-08
하남시,감일동,340,19,321,1,184,124,33,48,236,1.44,,2023-02-08
하남시,광암동,40,9,31,0,23,9,8,17,23,1.74,,2023-02-08
하남시,교산동,56,8,48,0,30,19,7,17,37,1.51,,2023-02-08
하남시,덕풍동,4575,176,4399,4,2886,1449,244,88,3468,1.32,,2023-02-08
하남시,망월동,4383,137,4246,0,2215,1905,263,97,3375,1.3,,2023-02-08
하남시,미사동,98,6,92,0,53,40,5,30,60,1.63,,2023-02-08
하남시,배알미동,12,0,12,0,7,5,0,8,7,1.71,,2023-02-08
하남시,상사창동,73,16,57,0,31,26,16,26,47,1.55,,2023-02-08
하남시,상산곡동,154,21,133,0,96,36,22,34,91,1.69,,2023-02-08
하남시,선동,934,34,900,0,477,395,62,45,748,1.25,,2023-02-08
하남시,신장동,2677,111,2566,0,1727,788,162,76,2025,1.32,,2023-02-08
하남시,창우동,1057,65,992,0,684,302,71,56,811,1.3,,2023-02-08
하남시,천현동,231,8,223,2,157,65,11,37,163,1.43,,2023-02-08
하남시,초이동,206,56,150,0,81,68,57,29,96,2.15,,2023-02-08
하남시,초일동,118,46,72,0,48,21,49,24,57,2.07,,2023-02-08
하남시,춘궁동,162,38,124,0,80,47,35,32,83,1.95,,2023-02-08
하남시,풍산동,1356,34,1322,0,735,535,86,59,1079,1.26,,2023-02-08
하남시,하사창동,52,2,50,0,39,13,0,16,23,2.26,,2023-02-08
하남시,하산곡동,412,214,198,0,132,63,217,43,145,2.84,,2023-02-08
하남시,학암동,1089,18,1071,0,544,359,186,62,844,1.29,,2023-02-08
하남시,항동,51,18,33,0,18,15,18,14,29,1.76,,2023-02-08
화성시,금곡동,48,4,44,0,25,18,5,17,28,1.71,0,2022-05-31
화성시,기산동,853,36,816,1,408,370,75,52,632,1.35,0,2022-05-31
화성시,기안동,920,27,893,0,561,271,88,54,732,1.26,1,2022-05-31
화성시,남양동,101,4,97,0,41,55,5,26,82,1.23,0,2022-05-31
화성시,남양읍,2295,277,2015,3,1175,820,300,89,1610,1.43,8,2022-05-31
화성시,능동,2942,95,2846,1,1561,1197,184,78,2307,1.28,4,2022-05-31
화성시,동탄면,120,4,116,0,61,56,3,30,90,1.33,0,2022-05-31
화성시,마도면,535,101,434,0,315,153,67,57,297,1.8,1,2022-05-31
화성시,매송면,391,49,342,0,181,136,74,42,278,1.41,0,2022-05-31
화성시,목동,1268,62,1205,1,662,507,99,52,984,1.29,1,2022-05-31
화성시,무송동,2,0,2,0,1,1,0,2,2,1,0,2022-05-31
화성시,문호동,1,0,1,0,0,1,0,1,1,1,0,2022-05-31
화성시,반송동,4383,123,4259,1,2514,1664,205,89,3459,1.27,11,2022-05-31
화성시,반월동,1549,55,1493,1,810,633,106,64,1237,1.25,3,2022-05-31
화성시,반정동,68,2,66,0,47,16,5,22,43,1.58,0,2022-05-31
화성시,방교동,127,1,126,0,77,44,6,33,86,1.48,0,2022-05-31
화성시,배양동,46,6,40,0,29,9,8,17,33,1.39,0,2022-05-31
화성시,병점동,3086,62,3021,3,1654,1244,188,81,2406,1.28,5,2022-05-31
화성시,봉담읍,5228,197,5029,2,2977,1826,425,94,3887,1.34,6,2022-05-31
화성시,북양동,9,0,9,0,4,5,0,5,6,1.5,0,2022-05-31
화성시,비봉면,370,53,316,1,194,116,60,43,225,1.64,0,2022-05-31
화성시,산척동,1680,106,1574,0,860,643,177,58,1296,1.3,4,2022-05-31
화성시,새솔동,934,77,857,0,435,376,123,52,726,1.29,3,2022-05-31
화성시,서신면,401,42,359,0,239,121,41,53,255,1.57,0,2022-05-31
화성시,석우동,810,26,784,0,478,288,44,53,669,1.21,0,2022-05-31
화성시,송동,417,28,389,0,225,162,30,47,344,1.21,0,2022-05-31
화성시,송림동,10,0,10,0,8,2,0,5,2,5,0,2022-05-31
화성시,송산동,636,33,602,1,301,276,59,47,447,1.42,1,2022-05-31
화성시,송산면,601,35,565,1,370,187,44,54,386,1.56,3,2022-05-31
화성시,수화동,3,0,3,0,1,2,0,3,2,1.5,0,2022-05-31
화성시,신남동,16,0,16,0,3,13,0,9,14,1.14,0,2022-05-31
화성시,신동,4,0,4,0,4,0,0,4,3,1.33,0,2022-05-31
화성시,신외동,1,1,0,0,0,1,0,1,1,1,0,2022-05-31
화성시,안녕동,881,52,827,2,461,337,83,58,600,1.47,0,2022-05-31
화성시,안석동,2,0,2,0,0,2,0,2,2,1,0,2022-05-31
화성시,양감면,313,59,251,3,121,121,71,37,158,1.98,1,2022-05-31
화성시,영천동,2083,66,2017,0,1177,751,155,59,1421,1.47,7,2022-05-31
